(60b,131b) (fe3,131b)
(209,15b9) (1fd,15b9)
(d3d,11f9) (659,11f9)
(139,215) (1c9,215)
(1a4b,301f) (263,301f)
(9a1,1055) (9a1,1055)
(113b,19f9) (1c3,19f9)
(fbd,14e9) (9a5,14e9)
(53,4df) (443,4df)
(d49,12e9) (881,12e9)
(751,9cb) (7e1,9cb)
(10a5,19f9) (5dd,19f9)
(b,1219) (b23,1219)
(a27,ddf) (67,ddf)
(44b,ca7) (793,ca7)
(3df,cf5) (79f,cf5)
(a3,763) (403,763)
(30d,725) (4ed,725)
(63f,71b) (45f,71b)
(9af,23cf) (136f,23cf)
(5f,68f) (2ff,68f)
(9b,cb) (9b,cb)
(379,c4d) (b5,c4d)
(6c5,ff7) (9ad,ff7)
(6b7,7ff) (1c7,7ff)
(1573,197f) (493,197f)
(153b,2c27) (5c3,2c27)
(35,553) (415,553)
(138d,288b) (1645,288b)
(b,1ed) (a3,1ed)
(9f,a15) (1f,a15)
(423,553) (4db,553)
(3b5,4d9) (39d,4d9)
(c6b,f3d) (5b7,f3d)
(6b,1d9) (107,1d9)
(4a9,1235) (6c5,1235)
(1d23,1e3b) (15a3,1e3b)
(727,a0d) (23b,a0d)
(12a9,2645) (a99,2645)
(1b1f,231d) (151f,231d)
(2123,301f) (21cb,301f)
(11b,1ff) (193,1ff)
(1d3,87d) (57b,87d)
(5e7,6b5) (317,6b5)
(1e3b,213d) (1bfb,213d)
(4fd,ca1) (995,ca1)
(13f,2ed) (13f,2ed)
(17,1af5) (b6f,1af5)
(dd,39b) (335,39b)
(73,12d) (67,12d)
(2b,68f) (553,68f)
(d0f,fc1) (31f,fc1)
(dc7,199d) (803,199d)
(155,1ab) (155,1ab)
(1d3,2b1) (9b,2b1)
(d15,14ad) (10e1,14ad)
(253,31f) (1db,31f)
(359,171d) (fe9,171d)
(7df,c1f) (7df,c1f)
(1cb5,22df) (103d,22df)
(177d,22b1) (5c1,22b1)
(697,81d) (df,81d)
(1139,188b) (fd1,188b)
(e77,ff7) (9df,ff7)
(246b,2d77) (ec3,2d77)
(f5,2a7) (dd,2a7)
(fa3,2339) (182b,2339)
(383,553) (473,553)
(425,575) (4d9,575)
(d,913) (2a5,913)
(1b1,521) (61,521)
(239,787) (f9,787)
(10ff,321b) (23bf,321b)
(139d,20bf) (7bd,20bf)
(15,bb) (3d,bb)
(1d1b,3515) (2447,3515)
